5e6bb1b	Sebastian Dimunzio	2016-03-11 09:55:08 -0300	adding map to new layout
75fecb2	mbertoli	2016-03-10 18:37:33 -0300	Merge branch 'master' of https://github.com/devgateway/geoph
47cc551	mbertoli	2016-03-10 18:07:29 -0300	rename bower references
460a812	Sebastian Dimunzio	2016-03-10 17:19:36 -0300	no message
b9ad395	Sebastian Dimunzio	2016-03-10 17:18:18 -0300	adding missing package json
f54c563	Daniel Oliva Bianco	2016-03-10 17:15:15 -0300	delete HelloController.class
059c65f	Daniel Oliva Bianco	2016-03-10 17:12:20 -0300	Merge branch 'master' into modeling
61e1405	Sebastian Dimunzio	2016-03-10 17:11:40 -0300	removing merge code
ab8b9d9	Sebastian Dimunzio	2016-03-10 17:06:34 -0300	Merge branch 'layout'
b987797	Sebastian Dimunzio	2016-03-10 17:05:03 -0300	Merge branch 'layout' of https://github.com/devgateway/geoph into layout
2f6b219	Sebastian Dimunzio	2016-03-10 17:03:53 -0300	updating bower dependencies.
a095d9b	Daniel Oliva Bianco	2016-03-10 16:58:58 -0300	Add parameters functionality to the controller, to filter projects by location and sector
e839402	mbertoli	2016-03-10 15:58:49 -0300	Merge pull request #13 from devgateway/layout
9fca8d8	Daniel Oliva Bianco	2016-03-10 15:41:42 -0300	Add a filter functionality for projects, also I want to test Slack alerts
7f33a67	mbertoli	2016-03-10 15:13:31 -0300	missed files
a84e96d	Sebastian Dimunzio	2016-03-10 14:50:30 -0300	updating build system, no more file not found errors, also sass support was added and a bower plugin to copy only the needed files
38264e1	mbertoli	2016-03-10 12:24:47 -0300	file renames
b7474ad	Sebastian Dimunzio	2016-03-10 12:00:38 -0300	Merge pull request #12 from devgateway/layout
230893f	Sebastian Dimunzio	2016-03-10 11:47:16 -0300	flexible layout
4d9144c	Sebastian Dimunzio	2016-03-10 11:34:14 -0300	fixing lan issue
1e6184e	Sebastian Dimunzio	2016-03-10 09:22:06 -0300	initial layout
f959f38	Sebastian Dimunzio	2016-03-09 16:24:48 -0300	initial layout
c3aa0cc	Sebastian Dimunzio	2016-03-09 15:22:37 -0300	Merge pull request #11 from devgateway/redux-esri
28f6935	Sebastian Dimunzio	2016-03-09 15:22:15 -0300	Merge branch 'master' into redux-esri
eca78fd	Sebastian Dimunzio	2016-03-09 15:19:44 -0300	Merge pull request #10 from devgateway/modeling
1c82d61	Sebastian Dimunzio	2016-03-09 15:11:47 -0300	no message
e5dce10	mbertoli	2016-03-09 12:28:24 -0300	fix react-redux-router paths
1d187a3	Sebastian Dimunzio	2016-03-09 12:04:42 -0300	no message
ba1dfcb	Sebastian Dimunzio	2016-03-09 12:04:00 -0300	updating gulp to use redux router as amd
be94838	mbertoli	2016-03-09 09:44:55 -0300	add code for redux-router
a7e1606	Daniel Oliva Bianco	2016-03-08 16:09:22 -0300	Merge branch 'master' into modeling
8e6fbce	Daniel Oliva Bianco	2016-03-08 16:04:35 -0300	Add project controller
